iter	Passed	Remaining
0	144	144677
1	145	72824
2	147	48862
3	147	36809
4	148	29630
5	150	24894
6	151	21495
7	152	18910
8	153	16894
9	154	15293
10	155	13981
11	156	12900
12	158	11997
13	158	11185
14	159	10496
15	160	9888
16	162	9371
17	163	8896
18	163	8466
19	165	8103
20	166	7780
21	168	7472
22	169	7184
23	170	6928
24	171	6688
25	172	6467
26	173	6254
27	174	6063
28	175	5879
29	176	5710
30	177	5549
31	178	5396
32	179	5259
33	180	5133
34	181	5009
35	182	4888
36	183	4774
37	184	4670
38	185	4570
39	186	4474
40	187	4386
41	188	4299
42	189	4219
43	190	4140
44	191	4067
45	192	3997
46	193	3931
47	195	3873
48	196	3813
49	197	3752
50	198	3696
51	199	3640
52	200	3586
53	201	3535
54	202	3484
55	203	3436
56	204	3389
57	205	3344
58	206	3299
59	207	3256
60	208	3215
61	210	3180
62	211	3143
63	212	3109
64	213	3071
65	214	3038
66	215	3005
67	216	2973
68	217	2939
69	218	2907
70	219	2876
71	220	2845
72	221	2816
73	222	2787
74	223	2759
75	224	2734
76	226	2712
77	227	2687
78	228	2663
79	229	2639
80	230	2615
81	231	2592
82	232	2565
83	233	2543
84	234	2522
85	235	2500
86	236	2480
87	237	2462
88	238	2442
89	239	2425
90	241	2411
91	242	2393
92	243	2376
93	244	2360
94	245	2343
95	247	2326
96	248	2310
97	249	2294
98	250	2278
99	251	2262
100	252	2246
101	253	2230
102	254	2216
103	256	2207
104	257	2194
105	258	2181
106	259	2168
107	260	2155
108	262	2142
109	263	2128
110	264	2115
111	265	2101
112	266	2089
113	267	2076
114	268	2064
115	269	2053
116	270	2041
117	271	2032
118	272	2020
119	273	2008
120	274	1996
121	275	1983
122	276	1972
123	277	1962
124	278	1951
125	279	1941
126	280	1928
127	281	1917
128	282	1908
129	283	1898
130	284	1888
131	286	1880
132	287	1873
133	288	1864
134	289	1856
135	290	1847
136	291	1838
137	293	1830
138	294	1821
139	295	1814
140	296	1804
141	297	1794
142	298	1786
143	299	1778
144	300	1770
145	301	1765
146	303	1758
147	304	1751
148	305	1744
149	306	1737
150	307	1730
151	308	1722
152	309	1715
153	310	1708
154	311	1700
155	313	1693
156	314	1687
157	315	1680
158	316	1676
159	318	1670
160	318	1661
161	319	1654
162	320	1647
163	321	1641
164	322	1634
165	324	1628
166	325	1622
167	326	1615
168	327	1608
169	328	1602
170	329	1598
171	331	1593
172	332	1589
173	333	1584
174	335	1579
175	336	1573
176	337	1568
177	338	1562
178	339	1557
179	340	1551
180	341	1545
181	342	1540
182	343	1535
183	345	1530
184	346	1524
185	347	1521
186	348	1517
187	350	1512
188	351	1507
189	352	1503
190	353	1499
191	355	1494
192	356	1489
193	357	1485
194	358	1480
195	359	1475
196	361	1471
197	362	1468
198	363	1463
199	364	1458
200	365	1454
201	366	1449
202	368	1445
203	369	1442
204	370	1438
205	371	1433
206	373	1429
207	374	1425
208	375	1421
209	376	1418
210	378	1414
211	379	1411
212	380	1407
213	382	1403
214	383	1399
215	384	1395
216	385	1392
217	387	1389
218	388	1385
219	389	1380
220	390	1376
221	391	1373
222	393	1371
223	395	1368
224	396	1364
225	397	1360
226	398	1357
227	400	1354
228	401	1351
229	402	1347
230	403	1344
231	404	1340
232	406	1336
233	407	1333
234	408	1330
235	410	1327
236	411	1323
237	412	1320
238	413	1316
239	414	1313
240	415	1309
241	417	1306
242	418	1302
243	419	1299
244	420	1296
245	422	1294
246	423	1291
247	424	1288
248	426	1286
249	427	1283
250	429	1280
251	430	1277
252	431	1274
253	432	1271
254	434	1267
255	435	1264
256	436	1261
257	437	1258
258	439	1256
259	440	1254
260	441	1251
261	443	1248
262	444	1245
263	445	1242
264	446	1239
265	448	1236
266	449	1232
267	450	1229
268	451	1225
269	452	1223
270	454	1221
271	455	1219
272	456	1216
273	458	1213
274	459	1212
275	461	1210
276	462	1207
277	464	1205
278	465	1202
279	466	1199
280	468	1197
281	469	1195
282	471	1193
283	472	1191
284	474	1189
285	475	1187
286	476	1184
287	478	1181
288	479	1179
289	480	1176
290	481	1173
291	483	1171
292	484	1169
293	486	1168
294	488	1166
295	489	1164
296	490	1162
297	492	1159
298	493	1157
299	494	1154
300	496	1152
301	497	1150
302	499	1148
303	500	1146
304	502	1144
305	503	1142
306	505	1140
307	506	1138
308	508	1136
309	509	1133
310	510	1130
311	511	1127
312	512	1125
313	514	1123
314	516	1122
315	517	1120
316	518	1117
317	519	1115
318	521	1112
319	522	1110
320	524	1108
321	525	1106
322	526	1103
323	528	1101
324	529	1100
325	531	1099
326	533	1097
327	534	1095
328	536	1093
329	537	1091
330	539	1089
331	540	1087
332	541	1084
333	542	1082
334	544	1081
335	546	1079
336	547	1076
337	548	1074
338	549	1072
339	551	1069
340	552	1068
341	554	1066
342	555	1064
343	556	1062
344	559	1062
345	560	1060
346	562	1058
347	563	1056
348	565	1054
349	566	1052
350	567	1050
351	569	1047
352	570	1045
353	571	1043
354	573	1042
355	575	1040
356	576	1038
357	578	1036
358	579	1034
359	580	1032
360	582	1030
361	583	1029
362	585	1026
363	586	1025
364	588	1023
365	589	1021
366	591	1020
367	593	1018
368	594	1016
369	595	1013
370	596	1011
371	598	1009
372	599	1007
373	600	1005
374	601	1003
375	603	1001
376	604	999
377	606	997
378	607	995
379	608	993
380	610	991
381	611	989
382	613	987
383	614	985
384	615	983
385	617	981
386	618	979
387	619	977
388	621	975
389	622	973
390	623	971
391	625	969
392	626	967
393	627	964
394	628	962
395	630	960
396	631	958
397	632	956
398	633	954
399	634	952
400	636	950
401	637	948
402	638	946
403	640	944
404	641	942
405	658	963
406	659	961
407	661	959
408	662	957
409	663	955
410	665	953
411	666	951
412	667	949
413	669	947
414	670	944
415	671	942
416	672	940
417	673	938
418	675	936
419	676	933
420	677	931
421	678	929
422	679	926
423	680	924
424	681	922
425	683	920
426	684	918
427	685	916
428	687	914
429	688	912
430	689	910
431	691	908
432	692	906
433	693	904
434	695	902
435	696	900
436	697	899
437	699	897
438	700	895
439	701	893
440	703	891
441	704	889
442	705	887
443	706	884
444	707	882
445	709	880
446	710	878
447	711	876
448	712	874
449	714	872
450	715	871
451	716	869
452	718	867
453	719	865
454	721	863
455	722	861
456	723	859
457	724	857
458	725	855
459	726	853
460	727	851
461	729	849
462	731	848
463	732	846
464	733	844
465	735	842
466	736	840
467	738	839
468	739	837
469	741	835
470	742	834
471	744	832
472	745	830
473	746	828
474	748	826
475	749	824
476	750	822
477	751	820
478	752	818
479	753	816
480	754	814
481	756	812
482	757	811
483	759	809
484	760	807
485	761	805
486	763	803
487	764	801
488	765	800
489	766	798
490	768	796
491	769	794
492	770	792
493	772	790
494	773	788
495	774	787
496	775	785
497	777	783
498	778	781
499	779	779
500	780	777
501	782	775
502	783	773
503	784	771
504	785	769
505	786	767
506	788	766
507	789	764
508	790	762
509	791	760
510	792	758
511	793	756
512	795	754
513	796	752
514	797	750
515	798	748
516	799	746
517	800	744
518	801	742
519	802	741
520	804	739
521	805	737
522	807	736
523	808	734
524	809	732
525	810	730
526	812	728
527	813	727
528	814	725
529	815	723
530	816	721
531	818	719
532	819	717
533	820	716
534	821	714
535	823	712
536	824	710
537	825	709
538	826	707
539	828	705
540	829	703
541	830	702
542	832	700
543	833	698
544	834	696
545	835	694
546	836	693
547	838	691
548	839	689
549	840	687
550	842	686
551	843	684
552	844	682
553	845	681
554	847	679
555	848	677
556	849	675
557	851	674
558	852	672
559	853	670
560	854	668
561	855	666
562	856	665
563	858	663
564	859	661
565	860	659
566	861	658
567	863	656
568	864	654
569	865	652
570	866	651
571	868	649
572	869	647
573	870	645
574	871	644
575	872	642
576	873	640
577	875	639
578	876	637
579	878	635
580	879	634
581	881	633
582	883	631
583	884	630
584	886	628
585	888	627
586	889	626
587	891	624
588	893	623
589	904	628
590	905	626
591	907	625
592	908	623
593	910	622
594	912	620
595	913	619
596	915	617
597	916	616
598	917	614
599	919	612
600	920	611
601	922	609
602	923	608
603	926	607
604	927	605
605	929	604
606	931	602
607	932	601
608	934	599
609	935	598
610	937	596
611	938	595
612	940	594
613	942	592
614	943	590
615	944	589
616	946	587
617	947	585
618	949	584
619	950	582
620	952	581
621	953	579
622	955	577
623	956	576
624	958	575
625	959	573
626	961	571
627	962	570
628	964	568
629	965	567
630	967	565
631	968	563
632	969	562
633	971	561
634	973	559
635	974	557
636	976	556
637	977	554
638	979	553
639	980	551
640	981	549
641	983	548
642	985	546
643	986	545
644	988	543
645	989	542
646	991	540
647	992	539
648	994	537
649	995	536
650	996	534
651	997	532
652	999	530
653	1001	529
654	1003	528
655	1004	526
656	1005	525
657	1007	523
658	1008	522
659	1010	520
660	1011	518
661	1012	517
662	1014	515
663	1016	514
664	1018	512
665	1019	511
666	1021	509
667	1022	508
668	1024	506
669	1025	505
670	1026	503
671	1028	501
672	1029	500
673	1031	498
674	1032	497
675	1034	495
676	1035	494
677	1037	492
678	1038	491
679	1040	489
680	1041	487
681	1042	486
682	1043	484
683	1046	483
684	1047	481
685	1049	480
686	1050	478
687	1052	477
688	1053	475
689	1055	474
690	1056	472
691	1058	470
692	1060	469
693	1062	468
694	1064	466
695	1065	465
696	1067	464
697	1069	462
698	1070	461
699	1072	459
700	1073	457
701	1075	456
702	1077	455
703	1079	453
704	1081	452
705	1082	450
706	1084	449
707	1085	447
708	1086	446
709	1088	444
710	1089	442
711	1091	441
712	1093	440
713	1094	438
714	1096	437
715	1098	435
716	1099	433
717	1101	432
718	1102	430
719	1103	429
720	1105	427
721	1107	426
722	1109	425
723	1111	423
724	1112	422
725	1113	420
726	1115	418
727	1116	417
728	1118	415
729	1119	414
730	1122	412
731	1123	411
732	1124	409
733	1126	408
734	1127	406
735	1128	404
736	1129	403
737	1130	401
738	1132	399
739	1133	398
740	1135	396
741	1136	395
742	1138	393
743	1139	392
744	1141	390
745	1142	389
746	1143	387
747	1144	385
748	1146	384
749	1147	382
750	1148	380
751	1150	379
752	1152	377
753	1153	376
754	1154	374
755	1156	373
756	1157	371
757	1158	369
758	1159	368
759	1161	366
760	1162	365
761	1163	363
762	1164	361
763	1166	360
764	1168	358
765	1169	357
766	1170	355
767	1171	353
768	1172	352
769	1174	350
770	1175	349
771	1176	347
772	1177	345
773	1179	344
774	1180	342
775	1182	341
776	1183	339
777	1185	338
778	1186	336
779	1187	335
780	1189	333
781	1190	331
782	1191	330
783	1192	328
784	1194	327
785	1195	325
786	1197	324
787	1198	322
788	1200	320
789	1201	319
790	1202	317
791	1204	316
792	1205	314
793	1206	313
794	1207	311
795	1208	309
796	1210	308
797	1212	306
798	1213	305
799	1214	303
800	1216	302
801	1217	300
802	1218	298
803	1219	297
804	1221	295
805	1222	294
806	1223	292
807	1224	290
808	1226	289
809	1228	288
810	1229	286
811	1231	285
812	1232	283
813	1233	281
814	1235	280
815	1236	278
816	1237	277
817	1238	275
818	1240	274
819	1242	272
820	1243	271
821	1245	269
822	1247	268
823	1248	266
824	1249	265
825	1251	263
826	1252	262
827	1253	260
828	1255	258
829	1257	257
830	1259	256
831	1260	254
832	1262	253
833	1263	251
834	1265	249
835	1266	248
836	1267	246
837	1268	245
838	1270	243
839	1271	242
840	1273	240
841	1274	239
842	1276	237
843	1277	236
844	1279	234
845	1280	233
846	1282	231
847	1283	230
848	1284	228
849	1286	227
850	1288	225
851	1289	224
852	1290	222
853	1292	220
854	1293	219
855	1294	217
856	1295	216
857	1297	214
858	1298	213
859	1299	211
860	1301	210
861	1303	208
862	1304	207
863	1305	205
864	1307	203
865	1308	202
866	1309	200
867	1310	199
868	1312	197
869	1313	196
870	1314	194
871	1315	193
872	1317	191
873	1319	190
874	1320	188
875	1321	187
876	1322	185
877	1324	184
878	1325	182
879	1326	180
880	1327	179
881	1329	177
882	1330	176
883	1331	174
884	1333	173
885	1334	171
886	1336	170
887	1337	168
888	1338	167
889	1340	165
890	1341	164
891	1342	162
892	1344	161
893	1345	159
894	1346	158
895	1348	156
896	1350	155
897	1351	153
898	1352	151
899	1354	150
900	1355	148
901	1356	147
902	1358	145
903	1359	144
904	1360	142
905	1362	141
906	1364	139
907	1365	138
908	1366	136
909	1368	135
910	1369	133
911	1370	132
912	1372	130
913	1373	129
914	1374	127
915	1376	126
916	1377	124
917	1379	123
918	1381	121
919	1382	120
920	1384	118
921	1385	117
922	1387	115
923	1388	114
924	1389	112
925	1390	111
926	1392	109
927	1394	108
928	1395	106
929	1396	105
930	1397	103
931	1399	102
932	1400	100
933	1402	99
934	1403	97
935	1404	96
936	1405	94
937	1407	93
938	1409	91
939	1410	90
940	1412	88
941	1413	87
942	1414	85
943	1416	84
944	1417	82
945	1418	80
946	1419	79
947	1420	77
948	1422	76
949	1424	74
950	1425	73
951	1427	71
952	1428	70
953	1430	68
954	1431	67
955	1432	65
956	1434	64
957	1435	62
958	1436	61
959	1438	59
960	1440	58
961	1441	56
962	1443	55
963	1444	53
964	1445	52
965	1447	50
966	1448	49
967	1449	47
968	1450	46
969	1452	44
970	1454	43
971	1455	41
972	1457	40
973	1459	38
974	1460	37
975	1461	35
976	1463	34
977	1464	32
978	1465	31
979	1467	29
980	1469	28
981	1471	26
982	1472	25
983	1474	23
984	1475	22
985	1477	20
986	1478	19
987	1480	17
988	1481	16
989	1483	14
990	1485	13
991	1486	11
992	1488	10
993	1489	8
994	1491	7
995	1492	5
996	1493	4
997	1495	2
998	1496	1
999	1499	0
